path,status,query_used_or_tried,source_url,note
assets/images/regions/ariana_hero.jpg,downloaded,Ariana Tunisia landscape drone view travel photography,https://images.pexels.com/photos/15253356/pexels-photo-15253356.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/beja_cover.jpg,downloaded,Beja Tunisia cityscape culture travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/beja_hero.jpg,downloaded,Beja Tunisia landscape drone view travel photography,https://images.pexels.com/photos/15253356/pexels-photo-15253356.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/ben-arous_cover.jpg,downloaded,Ben Arous Tunisia cityscape culture travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/ben-arous_hero.jpg,downloaded,Ben Arous Tunisia landscape drone view travel photography,https://images.pexels.com/photos/34901358/pexels-photo-34901358.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/bizerte_cover.jpg,downloaded,Bizerte Tunisia cityscape culture travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/bizerte_hero.jpg,downloaded,Bizerte Tunisia landscape drone view travel photography,https://images.pexels.com/photos/34160143/pexels-photo-34160143.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/gabes_cover.jpg,downloaded,Gabes Tunisia cityscape culture travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/gabes_hero.jpg,downloaded,Gabes Tunisia landscape drone view travel photography,https://images.pexels.com/photos/15253356/pexels-photo-15253356.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/gafsa_cover.jpg,downloaded,Gafsa Tunisia cityscape culture travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/gafsa_hero.jpg,downloaded,Gafsa Tunisia landscape drone view travel photography,https://images.pexels.com/photos/34901358/pexels-photo-34901358.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/jendouba_cover.jpg,downloaded,Jendouba Tunisia cityscape culture travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/jendouba_hero.jpg,downloaded,Jendouba Tunisia landscape drone view travel photography,https://images.pexels.com/photos/15253356/pexels-photo-15253356.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
